Nama Produk,SKU / Kode Produk,Barcode,Kategori,Satuan Dasar,Merk / Brand,Lokasi / Rak,Hitung Stok (ya/tidak),Harga Modal / Beli,Harga Jual Eceran,Harga Jual Grosir,Harga Jual Promo,Diskon per Item (Rp),Stok di Rak / Display,Stok di Gudang,Stok Minimum,Stok Minimum Gudang,Satuan Beli dari Supplier,Isi per Satuan Beli,Satuan Jual Besar,Harga Jual Besar Satuan,Harga Jual Besar Grosir,Harga Jual Besar Promo,Produk Master (ID),Qty Isi per Paket,Jenis Isi Paket,Satuan Isi Paket,HPP (AVCO),Total Aset
(BELI 3 GRATIS 1) LAMPU LUBY EYESENTIAL 12W,MLUBEL03,MLUBEL03,Rumah tangga,PCS,LUBY,Area 04,tidak,49914,85000,0,,0,0,0,5,,,1,,,,,,,,,0,0
(BELI 3 GRATIS 1) LAMPU LUBY EYESENTIAL 15W,MLUBEL04,MLUBEL04,Rumah tangga,PCS,LUBY,Area 04,tidak,61005,100000,0,0,0,0,0,5,,,1,,,,,,,,,0,0
(BELI 3 GRATIS 1) LAMPU LUBY EYESENTIAL 5W,MLUBEL01,MLUBEL01,Rumah tangga,PCS,LUBY,Area 04,tidak,31796,55000,0,0,0,0,0,5,,,1,,,,,,,,,0,0
(BELI 3 GRATIS 1) LAMPU LUBY EYESENTIAL 9W,MLUBEL02,MLUBEL02,Rumah tangga,PCS,LUBY,Area 04,tidak,43444,75000,0,0,0,0,0,5,,,1,,,,,,,,,0,0
ADAPTOR BOR KE GERINDA XENON,MADGRDX,MNOADA01,Alat teknik,PCS,,,ya,8500,12000,0,,0,8,0,5,,,1,,,,,,,,,0,0
ADES 600ML,ADES600,ADES600,Minuman,PCS,,,tidak,1834,3000,0,,0,0,0,5,,,1,,,,,,,,,0,0
"AFDUNER BOTOL 600ML ",AFDUB600,AFDU600,Cat,BTL,,,ya,11500,16000,0,,0,25,25,5,,,1,,,,,,,,,0,0
AFUR BCP PVC,MNOAFU02,MNOAFU02,Umum,PCS,,Area 03,tidak,0,20000,0,0,0,0,0,5,,PCS,1,,,,,,,,,0,0
AFUR BCP STAINLESS,MNOAFU01,MNOAFU01,Umum,PCS,,Area 03,tidak,0,30000,0,0,0,0,0,5,,PCS,1,,,,,,,,,0,0
AIR BLOW GUN BIASA,MNOAIR01,MNOAIR01,Alat tukang,PCS,,,tidak,0,0,0,0,0,0,1,3,,,1,,,,,,,,,0,0
AIR BLOW GUN TEKIRO 5”,MTEAIR02,MTEAIR02,Alat teknik,PCS,TEKIRO,Area 02,ya,75000,90000,0,,0,5,6,3,,,1,,,,,,,,,0,0
AIR CHUCK TEKIRO,MTEAIR01,MTEAIR01,Alat teknik,PCS,TEKIRO,Area 02,ya,40700,55000,0,,0,6,6,3,,,1,,,,,,,,,0,0
AIR DUSTER HASSTON 1+3 0160-130,MHAAIR01,MHAAIR01,Alat teknik,PCS,HASSTON,Area 02,tidak,34000,52000,0,,0,0,0,5,,,1,,,,,,,,,0,0
ALAT CABUT PIPA PATAH HASSTON,MHAALA01,MHAALA01,Alat teknik,PCS,HASSTON,Area 02,tidak,0,30000,0,0,0,0,0,5,,,1,,,,,,,,,0,0
ALAT PENGISI ANGIN BAN 3 IN 1 HASSTON,MHAALA02,MHAALA02,Alat teknik,PCS,HASSTON,Area 02,tidak,85700,105000,0,,0,0,0,5,,,1,,,,,,,,,0,0
ALAT PENGISI BAN TG-2 XENON,MXEALA01,MXEALA01,Alat tukang,PCS,XENON,,tidak,0,0,0,0,0,0,0,3,,,1,,,,,,,,,0,0
ALAT POTONG GRANIT 600MM HIOSHI,APTGHIO,APTGHIO,Power tools,PCS,,,tidak,0,1300000,0,,0,0,0,5,,,1,,,,,,,,,0,0
ALAT POTONG GRANIT 600MM MODERN,MMOALA02,MMOALA02,Power tools,PCS,MODERN POWER TOOLS,Area 02,tidak,0,1050000,0,0,0,0,0,1,,,1,,,,,,,,,0,0
ALAT POTONG KACA CAMEL,MCAALA01,MCAALA01,Alat tukang,PCS,CAMEL,,tidak,0,30000,0,0,0,0,0,3,,,1,,,,,,,,,0,0
ALAT POTONG KACA TC-59 TOYO,PTKC TC59,MTOALA01,Umum,PCS,TOYO,,tidak,0,11400,0,0,0,0,0,3,,,1,,,,,,,,,0,0
ALAT POTONG PIPA PVC STRAUSS,PTPP STRS,MSTALA01,Umum,PCS,STRAUSS,,tidak,0,65000,0,0,0,0,0,3,,,1,,,,,,,,,0,0
ALAT TAMBAL BAN BISON GG PLASTIK,MBIALA01,MBIALA01,Umum,PCS,BISON,,tidak,0,19000,0,,0,0,3,3,,,1,,,,,,,,,0,0
ALAT TAMBAL BAN TEKIRO GG BESI,MTKRTMBBS,MTKRTMBB,Alat teknik,PCS,TEKIRO,,ya,55275,70000,0,,0,3,0,5,,,1,,,,,,,,,0,0
ALAT TEMBAK LEM TEBAL STRAUSS / FREED,TMBK LEM,MNOALA01,Umum,PCS,,,tidak,0,40000,0,0,0,0,0,3,,,1,,,,,,,,,0,0
ALAT TEMBAK LEM TULANG,MALTMBKT,MALTMBKT,Umum,PCS,,,tidak,0,23000,0,,0,0,0,5,,,1,,,,,,,,,0,0
ALAT UKUR CELAH MOLLAR,MMOALA01,MMOALA01,Alat tukang,PCS,MOLLAR,,tidak,0,28000,0,,0,0,1,3,,,1,,,,,,,,,0,0
AMPLAS BULAT 100 (10 PCS),MNOAMP03-PAKET,MPAMB100,Alat tukang,BKS,,,tidak,0,5000,0,0,0,0,0,5,,,1,,,,,1153,10,FIXED_RATIO,PCS,0,0
AMPLAS BULAT 120 (10 PCS),MNOAMP04-PAKET,MPAMB120,Alat tukang,BKS,,,tidak,0,5000,0,0,0,0,0,5,,,1,,,,,1154,10,FIXED_RATIO,PCS,0,0
AMPLAS BULAT 120 SAB,AMP BLT 120,MSAAMP01,Umum,PCS,SAB,,tidak,0,500,0,0,0,0,0,3,,,1,,,,,,,,,0,0
AMPLAS BULAT 150 (10 PCS),MNOAMP05-PAKET,MPAMB150,Alat tukang,BKS,,,tidak,0,5000,0,0,0,0,0,5,,,1,,,,,1155,10,FIXED_RATIO,PCS,0,0
AMPLAS BULAT 150 SAB,AMP BLT 150,MSAAMP02,Umum,PCS,SAB,,tidak,0,500,0,0,0,0,0,3,,,1,,,,,,,,,0,0
AMPLAS BULAT 180 (10 PCS),MNOAMP06-PAKET,MPAMB180,Alat tukang,BKS,,,tidak,0,5000,0,0,0,0,0,5,,,1,,,,,1156,10,FIXED_RATIO,,0,0
AMPLAS BULAT 240 (10 PCS),MNOAMP07-PAKET,MPAMB240,Alat tukang,BKS,,,tidak,0,5000,0,0,0,0,0,5,,,1,,,,,1157,10,FIXED_RATIO,PCS,0,0
AMPLAS BULAT 400 (10 PCS),AMP BLT 400-PAKET,MPAMB400,Alat tukang,BKS,,,tidak,0,5000,0,0,0,0,0,5,,,1,,,,,10,10,FIXED_RATIO,PCS,0,0
AMPLAS BULAT 400 SAB,AMP BLT 400,MSAAMP03,Umum,PCS,SAB,,tidak,0,500,0,0,0,0,0,3,,,1,,,,,,,,,0,0
AMPLAS BULAT 60 (10 PCS),MNOAMP01-PAKET,MNOAMP08,Alat tukang,BKS,,Area 01,tidak,0,5000,0,0,0,0,0,5,,,1,,,,,1151,10,FIXED_RATIO,PCS,0,0
AMPLAS BULAT 60 SAB,AMP BLT 60,MSAAMP04,Umum,PCS,SAB,,tidak,0,500,0,0,0,0,0,3,,,1,,,,,,,,,0,0
AMPLAS BULAT 80 (10 PCS),MNOAMP02-PAKET,MNOAMP09,Alat tukang,BKS,,,tidak,0,5000,0,0,0,0,0,5,,,1,,,,,1152,10,FIXED_RATIO,PCS,0,0
AMPLAS BULAT 80 SAB-XX,AMP BLT 80,MSAAMP05,Umum,PCS,SAB,,tidak,0,500,0,0,0,0,0,3,,,1,,,,,,,,,0,0
AMPLAS BULAT 80 VPR,AMP BLT 80 VPR,MVPAMP01,Umum,PCS,VPR,,tidak,0,265,0,0,0,0,0,3,,,1,,,,,,,,,0,0
AMPLAS BULAT BIASA 100,MNOAMP03,MNOAMP03,Alat tukang,PCS,,,tidak,0,0,0,0,0,0,310,3,,,1,,,,,,,,,0,0
AMPLAS BULAT BIASA 120,MNOAMP04,MNOAMP04,Alat tukang,PCS,,,tidak,0,0,0,0,0,0,346,3,,,1,,,,,,,,,0,0
AMPLAS BULAT BIASA 150,MNOAMP05,MNOAMP05,Alat tukang,PCS,,,tidak,0,0,0,0,0,0,339,3,,,1,,,,,,,,,0,0
AMPLAS BULAT BIASA 180,MNOAMP06,MNOAMP06,Alat tukang,PCS,,,tidak,0,0,0,0,0,0,280,3,,,1,,,,,,,,,0,0
AMPLAS BULAT BIASA 240,MNOAMP07,MNOAMP07,Alat tukang,PCS,,,tidak,0,0,0,0,0,0,324,3,,,1,,,,,,,,,0,0
AMPLAS BULAT BIASA 60,MNOAMP01,MNOAMP01,Alat tukang,PCS,,,tidak,0,0,0,0,0,0,325,3,,,1,,,,,,,,,0,0
AMPLAS BULAT BIASA 80,MNOAMP02,MNOAMP02,Alat tukang,PCS,,,tidak,0,0,0,0,0,0,376,3,,,1,,,,,,,,,0,0
AMPLAS DUCO IGM 150,AMP DC IGM150,MIGAMP01,Umum,PCS,IGM,,tidak,0,3000,0,0,0,0,0,3,,,1,,,,,,,,,0,0
AMPLAS DUCO IGM 1500,AMP DC IGM1500,MIGAMP02,Umum,PCS,IGM,,tidak,0,3000,0,0,0,0,0,3,,,1,,,,,,,,,0,0
AMPLAS DUCO IGM 2000,AMP DC IGM2000,MIGAMP03,Umum,PCS,IGM,,tidak,0,3000,0,0,0,0,0,3,,,1,,,,,,,,,0,0
AMPLAS DUCO IGM 400,AMP DC IGM400,MIGAMP04,Umum,PCS,IGM,,tidak,0,3000,0,0,0,0,0,3,,,1,,,,,,,,,0,0
AMPLAS DUCO IGM 600,AMP DC IGM600,MIGAMP05,Umum,PCS,IGM,,tidak,0,3000,0,0,0,0,0,3,,,1,,,,,,,,,0,0
AMPLAS DUCO TAIYO 1000,AMP DCTY 1000,MTAAMP04,Umum,PCS,TAIYO,,tidak,0,3000,0,0,0,0,0,3,,,1,,,,,,,,,0,0
AMPLAS DUCO TAIYO 120,AMPDU120,MTAAMP15,Alat tukang,PCS,TAIYO,,tidak,0,3000,0,,0,0,0,5,,,1,,,,,,,,,0,0
AMPLAS DUCO TAIYO 150,AMPDT150,MNOAMP11,Alat tukang,PCS,,,tidak,0,3000,0,,0,0,0,5,,,1,,,,,,,,,0,0
AMPLAS DUCO TAIYO 180 METERAN,AMPDT180,MNOAMP12,Alat tukang,MTR,,,tidak,0,9000,0,,0,0,0,5,,ROL,1,,,,,,,,,0,0
AMPLAS DUCO TAIYO 2000,AMP DCTY 2000,MTAAMP05,Umum,PCS,TAIYO,,tidak,0,3000,0,0,0,0,0,3,,,1,,,,,,,,,0,0
AMPLAS DUCO TAIYO 240,AMP DCTY 240,MTAAMP06,Umum,PCS,TAIYO,,tidak,0,3000,0,0,0,0,0,3,,,1,,,,,,,,,0,0
AMPLAS DUCO TAIYO 280,AMP DCTY 280,MTAAMP07,Umum,PCS,TAIYO,,tidak,0,3000,0,0,0,0,0,3,,,1,,,,,,,,,0,0
AMPLAS DUCO TAIYO 400,AMP DCTY 400,MTAAMP08,Umum,PCS,TAIYO,,tidak,0,3000,0,0,0,0,0,3,,,1,,,,,,,,,0,0
AMPLAS DUCO TAIYO 60,AMP DCTY 60,MTAAMP09,Umum,PCS,TAIYO,,tidak,0,3000,0,0,0,0,0,3,,,1,,,,,,,,,0,0
AMPLAS DUCO TAIYO 80,AMPDCT80,MNOAMP10,Alat tukang,PCS,,,tidak,0,3000,0,,0,0,0,5,,,1,,,,,,,,,0,0
AMPLAS ROLL 120 GOMEO,AMP RL 120 GM,MGOAMP01,Umum,MTR,GOMEO,,tidak,0,6500,0,0,0,0,0,3,,ROL,50,ROL,325000,0,0,,,,,0,0
AMPLAS ROLL 60 GOMEO,AMP RL 60 GM,MGOAMP02,Umum,MTR,GOMEO,,tidak,0,6500,0,0,0,0,0,3,,ROL,50,ROL,325000,0,0,,,,,0,0
AMPLAS ROLL KODAI 120,AMP RLKD 120,MKOAMP01,Umum,MTR,KODAI,,tidak,0,6500,0,0,0,0,0,3,,ROL,50,ROL,325000,0,0,,,,,0,0
AMPLAS ROLL KODAI 150,AMP RLKD 150,MKOAMP02,Umum,MTR,KODAI,,tidak,0,6500,0,0,0,0,0,3,,ROL,50,ROL,325000,0,0,,,,,0,0
AMPLAS ROLL KODAI 240,AMP RLKD 240,MKOAMP03,Umum,MTR,KODAI,,tidak,0,6500,0,0,0,0,0,3,,ROL,50,ROL,325000,0,0,,,,,0,0
AMPLAS ROLL KODAI 400,AMP RLKD 400,MKOAMP04,Umum,MTR,KODAI,,tidak,0,6500,0,0,0,0,0,3,,ROL,50,ROL,325000,0,0,,,,,0,0
AMPLAS ROLL KODAI 80,AMP RLKD 80,MKOAMP05,Umum,MTR,KODAI,,tidak,0,6500,0,0,0,0,0,3,,ROL,50,ROL,325000,0,0,,,,,0,0
AMPLAS ROLL TAIYO 100,AMP RLTY 100,MTAAMP10,Umum,MTR,TAIYO,,tidak,0,9000,0,,0,0,0,3,,ROL,50,ROL,450000,0,,,,,,0,0
AMPLAS ROLL TAIYO 120,AMP RLTY 120,MTAAMP11,Umum,MTR,TAIYO,,tidak,0,9000,0,,0,0,0,3,,ROL,50,ROL,450000,0,,,,,,0,0
AMPLAS ROLL TAIYO 150,AMP RLTY 150,MTAAMP12,Umum,MTR,TAIYO,,tidak,0,9000,0,,0,0,0,3,,ROL,50,ROL,450000,0,,,,,,0,0
AMPLAS ROLL TAIYO 180,AMP RLTY 180,MTAAMP13,Umum,MTR,TAIYO,,tidak,0,9000,0,,0,0,0,3,,ROL,50,ROL,450000,0,,,,,,0,0
AMPLAS ROLL TAIYO 240,MTAAMP03,MTAAMP03,Alat tukang,MTR,TAIYO,,tidak,0,9000,0,,0,0,1,3,,ROL,50,ROL,450000,0,,,,,,0,0
AMPLAS ROLL TAIYO 320,MTAAMP01,MTAAMP01,Alat tukang,ROL,TAIYO,,tidak,0,9000,0,,0,0,1,3,,,1,,,,,,,,,0,0
AMPLAS ROLL TAIYO 400,AMP RLTY 400,MTAAMP14,Umum,MTR,TAIYO,,tidak,0,9000,0,,0,0,0,3,,ROL,50,ROL,450000,0,,,,,,0,0
AMPLAS ROLL TAIYO 60,MTAAMP02,MTAAMP02,Alat tukang,MTR,TAIYO,,tidak,0,9000,0,,0,0,1,3,,ROL,50,ROL,300000,0,,,,,,0,0
ANGKER MODERN M-2300B/SIM-100B,MMOARM05,MMOARM05,Power tools,PCS,MODERN POWER TOOLS,Area 02,tidak,0,120000,0,0,0,0,0,1,,,1,,,,,,,,,0,0
ANGKER MT 60,MNOANG01,MNOANG01,Umum,PCS,,,tidak,0,195000,0,0,0,0,0,5,,PCS,1,,,,,,,,,0,0
ANGKER MT 90,MNOANG02,MNOANG02,Umum,PCS,,,tidak,0,195000,0,0,0,0,0,5,,PCS,1,,,,,,,,,0,0
ARMATURE BOR MODERN M-2100B/C/JIZ-10B,MMOARM01,MMOARM01,Power tools,PCS,MODERN POWER TOOLS,Area 02,tidak,0,120000,0,0,0,0,0,1,,,1,,,,,,,,,0,0
ARMATURE BOR MODERN M-2130B,MMOARM02,MMOARM02,Power tools,PCS,MODERN POWER TOOLS,Area 02,tidak,0,120000,0,0,0,0,0,1,,,1,,,,,,,,,0,0
ARMATURE BOR MODERN M-2150,MMOARM03,MMOARM03,Power tools,PCS,MODERN POWER TOOLS,Area 02,tidak,0,125000,0,0,0,0,0,1,,,1,,,,,,,,,0,0
ARMATURE CIRCULAR SAW MODERN M-2600L,MMOARM04,MMOARM04,Power tools,PCS,MODERN POWER TOOLS,Area 02,tidak,0,200000,0,0,0,0,0,1,,,1,,,,,,,,,0,0
ARMATURE GERINDA MODERN M-2350B,MMOARM06,MMOARM06,Power tools,PCS,MODERN POWER TOOLS,Area 02,tidak,0,120000,0,0,0,0,0,1,,,1,,,,,,,,,0,0
ARMATURE PLANER MODERN M-2900,MMOARM07,MMOARM07,Power tools,PCS,MODERN POWER TOOLS,Area 02,tidak,0,105000,0,0,0,0,0,1,,,1,,,,,,,,,0,0
ARMATURE TRIMMER MODERN M-2700,MMOARM08,MMOARM08,Power tools,PCS,MODERN POWER TOOLS,Area 02,tidak,0,130000,0,0,0,0,0,1,,,1,,,,,,,,,0,0
ARMATURE TRIMMER MODERN M-2750,MMOARM09,MMOARM09,Power tools,PCS,MODERN POWER TOOLS,Area 02,tidak,0,130000,0,0,0,0,0,1,,,1,,,,,,,,,0,0
AS GEROBAK PASIR,MASGRBKP,MASGRBKP,Alat tukang,PCS,,,tidak,0,15000,0,,0,0,0,5,,,1,,,,,,,,,0,0
ASPAL CAIR 1 KG YUSTAR,MYUASP01,MYUASP01,Umum,PCS,YUSTAR,,tidak,0,38000,0,,0,0,0,5,,PCS,1,,,,,,,,,0,0
AUGER BITS HIOSHI 3/4,AGBTHI34,AGBTHI34,Alat tukang,PCS,,,tidak,0,60000,0,,0,0,0,5,,,1,,,,,,,,,0,0
"AUGERBITS 1/2"" (13 MM) HIOSHI",AGR BT1/2,MHIAUG01,Umum,PCS,HIOSHI,,tidak,0,12825,0,0,0,0,0,3,,,1,,,,,,,,,0,0
"AUGERBITS 1/4"" (6MM) HIOSHI",AGR BT1/4,MHIAUG02,Umum,PCS,HIOSHI,,tidak,0,7671.25,0,0,0,0,0,3,,,1,,,,,,,,,0,0
"AUGERBITS 3/4"" (19MM) HIOSHI",AGR BT3/4,MHIAUG03,Umum,PCS,HIOSHI,,tidak,0,20757.5,0,0,0,0,0,3,,,1,,,,,,,,,0,0
"AUGERBITS 3/8"" (10MM) HIOSHI",AGR BT3/8,MHIAUG04,Umum,PCS,HIOSHI,,tidak,0,9262.5,0,0,0,0,0,3,,,1,,,,,,,,,0,0
AUGERBITS 5/16 (8MM) HIOSHI,AGR BT5/16,MHIAUG05,Umum,PCS,HIOSHI,,tidak,0,8193.75,0,0,0,0,0,3,,,1,,,,,,,,,0,0
"AUGERBITS 5/8"" (16MM) HIOSHI",AGR BT5/8,MHIAUG06,Umum,PCS,HIOSHI,,tidak,0,16743.75,0,0,0,0,0,3,,,1,,,,,,,,,0,0
AUTOSOL 50 GR,MNOAUT01,MNOAUT01,Umum,PCS,,Area 02,tidak,0,30000,0,,0,0,0,5,,PCS,1,,,,,,,,,0,0
AVITEX GOLD 700 1 KG,AVIG7001,MNOAVI01,Cat,PCS,,,ya,0,64000,0,,0,3,0,5,,,1,,,,,,,,,0,0
AVITEX GOLD 700 5 KG,AVIG7005,MNOAVI07,Cat,PCS,,,ya,0,200000,0,,0,2,0,5,,,1,,,,,,,,,0,0
AVITEX GOLD 712 1 KG,AVIG7121,MNOAVI02,Cat,PCS,,,ya,0,64000,0,,0,3,0,5,,,1,,,,,,,,,0,0
AVITEX GOLD 712 5 KG,AVGL7125,AVGL7125,Cat,PCS,,,ya,193047,200000,0,,0,0,2,5,,,1,,,,,,,,,0,0
AVITEX GOLD 735 1 KG,AVGL7351,AVGL7351,Cat,PCS,,,ya,57720,64000,0,,0,0,3,5,,,1,,,,,,,,,0,0
AVITEX GOLD 735 5 KG,AVIG7355,MNOAVI08,Cat,PCS,,,ya,0,200000,0,,0,2,0,5,,,1,,,,,,,,,0,0
AVITEX GOLD 771 1 KG,AVIG7711,MNOAVI03,Cat,PCS,,,ya,0,64000,0,,0,3,0,5,,,1,,,,,,,,,0,0
AVITEX GOLD 771 5 KG,AVIG7715,MNOAVI09,Cat,PCS,,,ya,0,200000,0,,0,2,0,5,,,1,,,,,,,,,0,0
AVITEX GOLD 916 1 KG,AVIG9161,MNOAVI04,Cat,PCS,,,ya,0,64000,0,,0,3,0,5,,,1,,,,,,,,,0,0
AVITEX GOLD 916 5 KG,AVIG9165,MNOAVI10,Cat,PCS,,,ya,0,200000,0,,0,2,0,5,,,1,,,,,,,,,0,0
AVITEX GOLD SW 1 KG,AVIGSW1,MNOAVI05,Cat,PCS,,,ya,0,64000,0,,0,2,2,5,,,1,,,,,,,,,0,0
AVITEX GOLD SW 5 KG,AVIGSW5,MNOAVI06,Cat,PCS,,,ya,0,200000,0,,0,1,2,5,,,1,,,,,,,,,0,0
BAK CAT HITAM SUPER AWS,BAKCAT AWS HTM,MAWBAK01,Umum,PCS,AWS,,tidak,0,8000,0,,0,0,0,3,,,1,,,,,,,,,0,0
BAK CAT NEW STAR MERAH,BAKCAT RYR,MREBAK01,Umum,PCS,REYNER,,tidak,0,25000,0,,0,0,0,3,,,1,,,,,,,,,0,0
BAK CAT PVC BIASA,BAKCAT ELGN,MELBAK01,Umum,PCS,ELEGANT,,tidak,0,8000,0,0,0,0,0,3,,,1,,,,,,,,,0,0
BAK CUCI PIRING ROYAL SB 35,WB SB35,MROBCP01,Sanitary,PCS,ROYAL,,tidak,0,230000,0,0,0,0,0,3,,,1,,,,,,,,,0,0
BAK CUCI PIRING ROYAL SB 42S,MROBCP02,MROBCP02,Sanitary,PCS,,,tidak,0,200000,0,0,0,0,0,5,,,1,,,,,,,,,0,0
BAK USA 21 HYPER,MNOBAK03,MNOBAK03,Plastik,PCS,,,ya,29250,45000,45000,,0,1,0,3,,,1,,,,,,,,,29250,29250
BAK USA 21 PREM,MNOBAK02,MNOBAK02,Plastik,PCS,,,ya,20150,34000,34000,,0,2,0,3,,,1,,,,,,,,,20150,40300
BAK USA 21 SILVER,MNOBAK01,MNOBAK01,Plastik,PCS,,,ya,15600,26900,26900,,0,2,0,3,,,1,,,,,,,,,15600,31200
BAK USA 24 HYPER,MNOBAK06,MNOBAK06,Plastik,PCS,,,ya,45500,70000,70000,,0,2,0,3,,,1,,,,,,,,,45500,91000
BAK USA 24 PREM,MNOBAK05,MNOBAK05,Plastik,PCS,,,ya,31200,51000,51000,,0,2,0,3,,,1,,,,,,,,,31200,62400
BAK USA 24 SILVER,MNOBAK04,MNOBAK04,Plastik,PCS,,,ya,23400,38600,38600,,0,2,0,3,,,1,,,,,,,,,23400,46800
BAK USA 27 HYPER,MNOBAK09,MNOBAK09,Plastik,PCS,,,ya,57200,88000,88000,,0,2,0,3,,,1,,,,,,,,,57200,114400
BAK USA 27 PREM,MNOBAK08,MNOBAK08,Plastik,PCS,,,ya,46800,72000,72000,,0,2,0,3,,,1,,,,,,,,,46800,93600
BAK USA 27 SILVER,MNOBAK07,MNOBAK07,Plastik,PCS,,,ya,28600,45000,45000,,0,2,0,3,,,1,,,,,,,,,28600,57200
BALL VALVE GG BESI 3/4 BLITZ,BVBSBLZ2,MNOBAL08,Sanitary,PCS,,,tidak,0,24000,0,,0,0,0,5,,,1,,,,,,,,,0,0
BALL VALVE GG BESI GLX 1/2,BVBSGLX1,MNOBAL07,Sanitary,PCS,,,tidak,0,20000,0,,0,0,0,5,,,1,,,,,,,,,0,0
"BALL VALVE GG BESI HPP 1""",BVBSHPP3,MNOBAL06,Sanitary,PCS,,,tidak,0,20000,0,,0,0,0,5,,,1,,,,,,,,,0,0
BALL VALVE GG BESI HPP 1/2,BVBSHPP1,MNOBAL04,Sanitary,PCS,,,tidak,0,12000,0,,0,0,0,5,,,1,,,,,,,,,0,0
BALL VALVE GG BESI HPP 3/4,BVBSHPP2,MNOBAL05,Sanitary,PCS,,,tidak,0,15000,0,,0,0,0,5,,,1,,,,,,,,,0,0
BALL VALVE PRO 1/2' (FULL KUNINGAN),BV PRO1/2,MHIBAL01,Umum,PCS,HIOSHI,,tidak,0,60000,0,0,0,0,0,3,,,1,,,,,,,,,0,0
BALL VALVE PRO 3/4' (FULL KUNINGAN),BV PRO3/4,MHIBAL02,Umum,PCS,HIOSHI,,tidak,0,80000,0,0,0,0,0,3,,,1,,,,,,,,,0,0
"BALL VALVE PVC GRT 1""",BVPVGRT3,MNOBAL03,Sanitary,PCS,,,tidak,0,20000,0,,0,0,0,5,,,1,,,,,,,,,0,0
BALL VALVE PVC GRT 1/2,BVPVGRT1,MNOBAL01,Sanitary,PCS,,,tidak,0,11000,0,,0,0,0,5,,,1,,,,,,,,,0,0
BALL VALVE PVC GRT 3/4,BVPVGRT2,MNOBAL02,Sanitary,PCS,,,tidak,0,13000,0,,0,0,0,5,,,1,,,,,,,,,0,0
"BALL VALVE PVC HD 1"" HIOSHI",BV PVC 1 HS,MHIBAL04,Umum,PCS,HIOSHI,,tidak,0,32000,0,0,0,0,0,3,,,1,,,,,,,,,0,0
"BALL VALVE PVC HD 1/2"" HIOSHI",BV PVC 1/2 HS,MHIBAL03,Umum,PCS,HIOSHI,,tidak,0,18000,0,0,0,0,0,3,,,1,,,,,,,,,0,0
BALL VALVE PVC HPP 1/2,MBVPVCH1,MBVPVCH1,Sanitary,PCS,,,tidak,0,8000,0,0,0,0,0,5,,,1,,,,,,,,,0,0
BALL VALVE PVC HPP 3/4,MBVPVCH2,MBVPVCH2,Sanitary,PCS,,,tidak,0,9000,0,0,0,0,0,5,,,1,,,,,,,,,0,0
"BALL VALVE PVC ONDA 1 1/2""",VLPPVPVC48OND,MONBAL05,Umum,PCS,ONDA,,tidak,0,103500,0,0,0,0,0,3,,,1,,,,,,,,,0,0
"BALL VALVE PVC ONDA 1 1/4""",VLPPVPVC42OND,MONBAL04,Umum,PCS,ONDA,,tidak,0,57500,0,0,0,0,0,3,,,1,,,,,,,,,0,0
"BALL VALVE PVC ONDA 1""",VLPPVPVC32OND,MONBAL03,Umum,PCS,ONDA,,tidak,0,38500,0,0,0,0,0,3,,,1,,,,,,,,,0,0
"BALL VALVE PVC ONDA 1/2""",VLPPVPV22OND,MONBAL01,Umum,PCS,ONDA,,tidak,0,22000,0,0,0,0,0,3,,,1,,,,,,,,,0,0
"BALL VALVE PVC ONDA 2""",VLPPVPVC60OND,MONBAL06,Umum,PCS,ONDA,,tidak,0,110000,0,0,0,0,0,3,,,1,,,,,,,,,0,0
"BALL VALVE PVC ONDA 3/4""",VLPPVPPVC26OND,MONBAL02,Umum,PCS,ONDA,,tidak,0,33000,0,0,0,0,0,3,,,1,,,,,,,,,0,0
BAN DALAM ARTCO,BAN DLM ARCO,MARBAN01,Umum,PCS,ARTCO,,tidak,0,30000,0,0,0,0,0,3,,,1,,,,,,,,,0,0
BAN KOMPLIT HIDUP ARTCO,BHARCO,MARBAN02,Umum,PCS,ARTCO,,tidak,0,175000,0,,0,0,0,3,,,1,,,,,,,,,0,0
BAN LUAR ARTCO MERAH,BLARCO NI,MARBAN03,Umum,PCS,ARTCO,,tidak,0,70000,0,,0,0,0,3,,,1,,,,,,,,,0,0
BATERAI BOR CORDLESS 12V,MNOBAT01,MNOBAT01,Alat teknik,PCS,,Area 01,tidak,0,0,0,0,0,0,0,5,,PCS,1,,,,,,,,,0,0
BATERAI BOR CORDLESS 18V 2 AH XENON,MXEBAT01,MXEBAT01,Alat teknik,PCS,XENON,Area 01,tidak,0,0,0,0,0,0,0,5,,PCS,1,,,,,,,,,0,0
BATERAI CORDLESS 18V XENON,BATCOR18,BATCOR18,Alat teknik,PCS,,,tidak,0,170000,0,,0,0,0,5,,,1,,,,,,,,,0,0
"BATU ASAH AWS 6""",MBATASHAWSK,MNOBAT07,Alat tukang,PCS,,,tidak,0,16000,0,,0,0,0,5,,,1,,,,,,,,,0,0
"BATU ASAH AWS 8""",MBATASHAWSB,MNOBAT08,Alat tukang,PCS,,,tidak,0,18000,0,,0,0,0,5,,,1,,,,,,,,,0,0
BATU ASAH DAYAK 6 ABU,BTAS DYK 6,MDABAT01,Umum,PCS,DAYAK,,tidak,0,8750,0,0,0,0,0,3,,,1,,,,,,,,,0,0
